,prb_id,country_code
0,1,NL
1,10,NL
2,100,CW
3,1000,AU
4,1000000,NL
5,1000001,MK
6,1000002,FR
7,1000003,NL
8,1000004,US
9,1000005,NL
10,1000006,US
11,1000007,CZ
12,1000008,IN
13,1000009,FR
14,1000010,DE
15,1000011,US
16,1000012,FR
17,1000013,DE
18,1000014,FR
19,1000015,FR
20,1000016,PT
21,1000017,DE
22,1000018,US
23,1000019,IN
24,1000020,FR
25,1000021,DE
26,1000022,PT
27,1000023,TR
28,1000024,DE
29,1000025,NL
30,1000026,CA
31,1000027,DE
32,1000028,TR
33,1000029,US
34,1000030,DE
35,1000031,US
36,1000032,CZ
37,1000033,CZ
38,1000034,CZ
39,1000035,CZ
40,1000036,CZ
41,1000037,US
42,1000038,FI
43,1000039,DE
44,1000040,CZ
45,1000041,RU
46,1000042,CZ
47,1000043,PT
48,1000044,None
49,1000045,CN
50,1000046,CZ
51,1000047,CZ
52,1000048,HK
53,1000049,US
54,1000050,CN
55,1000051,RU
56,1000052,CZ
57,1000053,RU
58,1000054,RU
59,1000055,RU
60,1000056,CZ
61,1000057,CZ
62,1000058,CZ
63,1000059,CZ
64,1000060,CZ
65,1000061,CZ
66,1000062,CZ
67,1000063,CZ
68,1000065,CZ
69,1000066,CZ
70,1000067,CZ
71,1000068,CZ
72,1000069,CZ
73,1000070,ZA
74,1000071,CZ
75,1000072,GR
76,1000075,DE
77,1000076,DE
78,1000077,CZ
79,1000078,CZ
80,1000079,US
81,1000080,US
82,1000081,FR
83,1000082,GR
84,1000083,CZ
85,1000084,CZ
86,1000085,NL
87,1000086,IE
88,1000087,FR
89,1000088,CZ
90,1000090,GB
91,1000092,PT
92,1000093,CZ
93,1000095,NL
94,1000096,SE
95,1000097,DE
96,1000098,NL
97,1000099,US
98,10001,NL
99,1000100,GB
100,1000101,DE
101,1000102,FI
102,1000103,CA
103,1000104,NO
104,1000105,US
105,1000106,DE
106,1000107,US
107,1000108,DE
108,1000109,US
109,1000110,DE
110,1000112,US
111,1000113,US
112,1000114,DE
113,1000115,US
114,1000116,RO
115,1000117,GR
116,1000118,GR
117,1000119,US
118,1000120,GR
119,1000124,GR
120,1000125,CZ
121,1000127,GR
122,1000128,GR
123,1000130,GB
124,1000132,NL
125,1000133,CZ
126,1000134,DE
127,1000136,GB
128,1000137,US
129,1000142,SE
130,1000143,IT
131,1000147,NL
132,1000148,None
133,1000149,BE
134,1000150,NL
135,1000151,CA
136,1000152,CZ
137,1000153,US
138,1000154,US
139,1000155,CH
140,1000157,CZ
141,1000158,SE
142,1000159,FR
143,1000160,UA
144,1000163,FR
145,1000164,None
146,1000165,FR
147,1000166,FR
148,1000167,None
149,1000169,DE
150,1000170,FR
151,1000172,CH
152,1000173,BR
153,1000174,US
154,1000175,DE
155,1000176,IE
156,1000177,GB
157,1000178,CH
158,1000179,JP
159,1000180,NL
160,1000182,CZ
161,1000183,DE
162,1000185,IR
163,1000186,IR
164,1000187,IR
165,1000188,IR
166,1000189,IR
167,1000192,DK
168,1000194,DK
169,1000196,DE
170,1000197,CZ
171,1000198,CZ
172,1000199,CH
173,1000201,None
174,1000203,IN
175,1000204,FR
176,1000206,None
177,1000207,DE
178,1000208,None
179,1000209,None
180,1000210,None
181,1000211,None
182,1000212,None
183,1000213,None
184,1000214,None
185,1000215,None
186,1000216,None
187,1000217,None
188,1000218,None
189,1000219,NL
190,1000220,IN
191,1000221,CZ
192,1000222,GB
193,1000223,RO
194,1000225,None
195,1000226,CH
196,1000229,RU
197,1000230,RU
198,1000231,CH
199,1000233,None
200,1000234,DE
201,1000236,NL
202,1000237,ZA
203,1000238,DE
204,1000239,AE
205,1000240,NL
206,1000241,DE
207,1000242,AT
208,1000243,CZ
209,1000244,US
210,1000245,AE
211,1000246,GB
212,1000248,BE
213,1000249,DE
214,1000251,DE
215,1000252,IR
216,1000253,CZ
217,1000254,IR
218,1000255,None
219,1000256,CZ
220,1000257,ES
221,1000259,None
222,1000260,CA
223,1000261,CZ
224,1000262,CZ
225,1000264,SK
226,1000265,GR
227,1000266,CZ
228,1000267,CZ
229,1000268,IN
230,1000271,BR
231,1000272,IN
232,1000273,None
233,1000274,BR
234,1000275,AT
235,1000276,CZ
236,1000277,None
237,1000278,IN
238,1000279,FR
239,1000280,RO
240,1000281,GB
241,1000282,US
242,1000283,US
243,1000284,US
244,1000285,IT
245,1000286,IN
246,1000287,CH
247,1000288,DE
248,1000289,IR
249,1000290,RU
250,1000291,CN
251,1000292,CN
252,1000293,US
253,1000294,RU
254,1000295,DE
255,1000296,US
256,1000297,US
257,1000298,NL
258,1000299,HK
259,10003,NL
260,1000300,DK
261,1000301,None
262,1000302,CN
263,1000303,AU
264,1000304,None
265,1000305,NL
266,1000306,DE
267,1000308,DE
268,1000309,DE
269,1000311,PT
270,1000312,PT
271,1000314,BR
272,1000316,FR
273,1000318,IR
274,1000319,US
275,1000320,CZ
276,1000321,IT
277,1000322,US
278,1000325,FR
279,1000327,NA
280,1000328,CA
281,1000329,None
282,1000330,RU
283,1000331,AU
284,1000333,US
285,1000335,GB
286,1000336,DE
287,1000338,IT
288,1000339,FR
289,1000340,IE
290,1000341,IE
291,1000342,JP
292,1000344,PT
293,1000345,UA
294,1000346,RU
295,1000347,PT
296,1000348,PT
297,1000349,PT
298,1000350,PT
299,1000351,FR
300,1000352,US
301,1000353,CN
302,1000354,SG
303,1000355,NL
304,1000356,TW
305,1000357,PT
306,1000358,UA
307,1000359,DE
308,1000360,UA
309,1000361,UA
310,1000362,CZ
311,1000363,MY
312,1000364,MY
313,1000365,MY
314,1000366,DE
315,1000367,DE
316,1000368,DE
317,1000369,GB
318,1000370,GB
319,1000371,IT
320,1000372,PT
321,1000373,FR
322,1000374,BH
323,1000375,US
324,1000376,None
325,1000377,CH
326,1000378,TJ
327,1000379,VN
328,1000380,VN
329,1000381,VN
330,1000382,VN
331,1000383,None
332,1000384,None
333,1000385,VN
334,1000386,IT
335,1000387,CZ
336,1000388,VN
337,1000389,CH
338,1000390,GB
339,1000391,None
340,1000392,None
341,1000393,CH
342,1000395,None
343,1000397,VN
344,1000398,CH
345,10004,NL
346,1000400,US
347,1000401,IT
348,1000402,CZ
349,1000403,CA
350,1000404,SG
351,1000406,US
352,1000407,FR
353,1000408,CH
354,1000409,NL
355,1000410,FR
356,1000412,FR
357,1000413,UA
358,1000414,RU
359,1000415,CN
360,1000416,CN
361,1000417,US
362,1000418,CN
363,1000419,CN
364,1000420,US
365,1000421,US
366,1000422,PT
367,1000423,PT
368,1000424,PT
369,1000425,CN
370,1000426,PT
