ASN,Users (est.)
55836,287085526
4134,258964103
45609,159676815
4837,146409718
9808,104315488
197207,59954683
4812,54216083
7713,41115633
38266,40180638
4808,37590956
7922,37343894
8151,36507380
8452,35508896
29465,33149617
45271,31585247
14061,28183837
24757,27346813
9299,25149825
28573,24350205
56040,21387936
2516,21175906
56046,20379261
4766,20215185
7552,20077164
12389,19486659
45899,19369573
23693,18843055
7018,18547683
134773,18441749
36903,17869935
50710,17694242
3320,17461235
17676,17398491
47331,16622527
36873,16271494
4713,16063215
3209,15093142
3215,15069737
21928,14860678
4761,14014887
7303,13944439
17621,13022986
5607,12931281
9829,12707206
132199,12254908
3352,12122760
5089,11962842
24203,11931288
2856,11914803
17639,11864264
36947,11833974
39891,11297052
9318,11158912
24400,10917488
13999,10720542
8048,10582423
8359,10576625
17816,10517418
4788,10391064
701,10254525
17072,10188815
10620,10133585
3462,10019019
20057,9989796
6167,9892516
6147,9816014
20115,9425471
34984,9312569
18403,9295175
24560,9245339
328309,9217703
16345,9122516
12479,9083718
17552,9044799
45727,8867917
1221,8821766
136255,8720927
7738,8677323
30873,8655279
3269,8597700
131445,8591172
25019,8555740
30986,8498787
4775,8473859
1267,8223679
15557,8215331
17557,8190902
9988,8179975
12322,8157763
24389,8154926
5384,8149824
8193,8130847
9605,8063376
16135,7795292
4847,7539372
5617,7527103
56047,7513683
24940,7489012
10139,7479982
35819,7450730
17622,7447823
22773,7375311
30722,7371698
56048,7266236
45629,7204050
4538,7060094
26599,7009550
24432,6906964
8708,6898576
28548,6890455
27699,6889815
27725,6882698
17858,6822171
24444,6818188
29256,6772668
577,6568966
15897,6561988
18881,6417235
16276,6355869
21859,6336151
5410,6320162
28403,6228792
22394,6126729
59257,6101546
9121,5926476
9198,5900202
29571,5796899
37075,5793323
18004,5698537
33771,5665720
26615,5625098
36998,5572048
24378,5423122
4816,5404406
812,5377155
209,5374908
5713,5365314
10796,5347392
6805,5294378
9534,5189589
37020,5149218
15706,5129364
12430,5123102
8167,5109941
36992,5097939
15895,5063166
20001,5046114
6400,5010446
15704,4903410
17623,4879669
3816,4832144
45669,4808840
134772,4794416
8346,4779407
327712,4768577
22085,4749617
23700,4704055
20294,4703111
36972,4584268
33915,4557925
12252,4542084
23969,4535373
29975,4520530
36925,4482753
16637,4478613
33779,4472129
27747,4432201
9824,4420682
852,4391641
24835,4367532
24547,4341709
133481,4327001
18001,4325021
9644,4306607
136200,4301034
5432,4289743
37457,4283450
36935,4267335
132061,4244157
43766,4212510
12576,4202290
24445,4181152
12874,4176328
4804,4146234
2527,4116069
13489,4104543
17421,4044126
20978,4033517
7418,4022922
14754,4022424
201767,3952666
327931,3944735
17511,3944109
1136,3909727
37342,3852616
31133,3852254
36974,3798718
6327,3772282
5769,3737846
6697,3732175
8374,3726569
22927,3725509
4818,3696260
12958,3661306
6128,3631737
27831,3615615
33363,3602886
22047,3585185
2518,3561258
9009,3553065
45245,3550826
11427,3541619
13285,3530264
6848,3440370
30992,3429035
7545,3413120
11426,3408325
3303,3388940
8386,3361282
51167,3341480
47524,3337483
6799,3321432
37287,3275485
38466,3252562
29614,3242439
24499,3188598
37190,3165006
24961,3139644
10030,3129015
11664,3127530
11351,3123733
38019,3100699
56044,3095032
16232,3045588
36908,3038471
5650,3031444
327885,3029776
8402,2979133
6306,2938670
39603,2937575
11888,2927794
9541,2913156
17488,2857694
24158,2853001
6739,2841976
37705,2837986
37054,2835066
206206,2808876
2860,2808343
24309,2785966
41202,2782720
23201,2760265
5483,2759088
51207,2749207
9674,2738635
29497,2723714
27882,2707317
37133,2707269
12912,2701523
26611,2697395
27947,2674804
8400,2647874
6830,2614624
12876,2599210
3243,2570379
19429,2532829
63023,2527033
25513,2518374
8881,2514196
28126,2506914
48503,2498720
3301,2487818
37453,2474709
48832,2470050
28885,2462046
38623,2459381
17501,2441891
25159,2423501
32934,2415139
9105,2413500
37105,2400358
133982,2396200
17638,2392360
37531,2386419
50810,2371040
56041,2368182
37119,2346949
24863,2335178
23944,2306893
52362,2278141
23724,2276003
28469,2270069
140317,2268447
6057,2267034
39832,2259802
17853,2256507
37223,2234975
6713,2216482
45916,2196441
41330,2195884
37035,2193573
36912,2167951
28509,2162230
37577,2155846
12735,2140056
21277,2136829
36926,2120731
29447,2117321
49273,2110133
34170,2107038
6568,2103172
30985,2088665
56042,2063312
37204,2058535
3292,2057437
63949,2050292
27651,2041154
