ASN,Users (est.),CC
55836,287085526,IN
4134,258964103,CN
45609,159676815,IN
4837,146409718,CN
9808,104315488,CN
197207,59954683,IR
4812,54216083,CN
7713,41115633,ID
38266,40180638,IN
4808,37590956,CN
7922,37343894,US
8151,36507380,MX
8452,35508896,EG
29465,33149617,NG
45271,31585247,IN
14061,28183837,US
24757,27346813,ET
9299,25149825,PH
28573,24350205,BR
56040,21387936,CN
2516,21175906,JP
56046,20379261,CN
4766,20215185,KR
7552,20077164,VN
12389,19486659,RU
45899,19369573,VN
23693,18843055,ID
7018,18547683,US
134773,18441749,CN
36903,17869935,MA
50710,17694242,IQ
3320,17461235,DE
17676,17398491,JP
47331,16622527,TR
36873,16271494,NG
4713,16063215,JP
3209,15093142,DE
3215,15069737,FR
21928,14860678,US
4761,14014887,ID
7303,13944439,AR
17621,13022986,CN
5607,12931281,GB
9829,12707206,IN
132199,12254908,PH
3352,12122760,ES
5089,11962842,GB
24203,11931288,ID
2856,11914803,GB
17639,11864264,PH
36947,11833974,DZ
39891,11297052,SA
9318,11158912,KR
24400,10917488,CN
13999,10720542,MX
8048,10582423,VE
8359,10576625,RU
17816,10517418,CN
4788,10391064,MY
701,10254525,US
17072,10188815,MX
10620,10133585,CO
3462,10019019,TW
20057,9989796,US
6167,9892516,US
6147,9816014,PE
20115,9425471,US
34984,9312569,TR
18403,9295175,VN
24560,9245339,IN
328309,9217703,NG
16345,9122516,RU
12479,9083718,ES
17552,9044799,TH
45727,8867917,ID
1221,8821766,AU
136255,8720927,MM
7738,8677323,BR
30873,8655279,YE
3269,8597700,IT
131445,8591172,TH
25019,8555740,SA
30986,8498787,GH
4775,8473859,PH
1267,8223679,IT
15557,8215331,FR
17557,8190902,PK
9988,8179975,MM
12322,8157763,FR
24389,8154926,BD
5384,8149824,AE
8193,8130847,UZ
9605,8063376,JP
16135,7795292,TR
4847,7539372,CN
5617,7527103,PL
56047,7513683,CN
24940,7489012,DE
10139,7479982,PH
35819,7450730,SA
17622,7447823,CN
22773,7375311,US
30722,7371698,IT
56048,7266236,CN
45629,7204050,TH
4538,7060094,CN
26599,7009550,BR
24432,6906964,BD
8708,6898576,RO
28548,6890455,MX
27699,6889815,BR
27725,6882698,CU
17858,6822171,KR
24444,6818188,CN
29256,6772668,SY
577,6568966,CA
15897,6561988,TR
18881,6417235,BR
16276,6355869,FR
21859,6336151,US
5410,6320162,FR
28403,6228792,MX
22394,6126729,US
59257,6101546,PK
9121,5926476,TR
9198,5900202,KZ
29571,5796899,CI
37075,5793323,UG
18004,5698537,ID
33771,5665720,KE
26615,5625098,BR
36998,5572048,SD
24378,5423122,TH
4816,5404406,CN
812,5377155,CA
209,5374908,US
5713,5365314,ZA
10796,5347392,US
6805,5294378,DE
9534,5189589,MY
37020,5149218,CD
15706,5129364,SD
12430,5123102,ES
8167,5109941,BR
36992,5097939,EG
15895,5063166,UA
20001,5046114,US
6400,5010446,DO
15704,4903410,ES
17623,4879669,CN
3816,4832144,CO
45669,4808840,PK
134772,4794416,CN
8346,4779407,SN
327712,4768577,DZ
22085,4749617,BR
23700,4704055,ID
20294,4703111,UG
36972,4584268,SD
33915,4557925,NL
12252,4542084,PE
23969,4535373,TH
29975,4520530,ZA
36925,4482753,MA
16637,4478613,ZA
33779,4472129,DZ
27747,4432201,AR
9824,4420682,JP
852,4391641,CA
24835,4367532,EG
24547,4341709,CN
133481,4327001,TH
18001,4325021,LK
9644,4306607,KR
136200,4301034,CN
5432,4289743,BE
37457,4283450,ZA
36935,4267335,EG
132061,4244157,TH
43766,4212510,SA
12576,4202290,GB
24445,4181152,CN
12874,4176328,IT
4804,4146234,AU
2527,4116069,JP
13489,4104543,CO
17421,4044126,TW
20978,4033517,TR
7418,4022922,CL
14754,4022424,GT
201767,3952666,UZ
327931,3944735,DZ
17511,3944109,JP
1136,3909727,NL
37342,3852616,MZ
31133,3852254,RU
36974,3798718,CI
6327,3772282,CA
5769,3737846,CA
6697,3732175,BY
8374,3726569,PL
22927,3725509,AR
4818,3696260,MY
12958,3661306,RU
6128,3631737,US
27831,3615615,CO
33363,3602886,US
22047,3585185,CL
2518,3561258,JP
9009,3553065,US
45245,3550826,BD
11427,3541619,US
13285,3530264,GB
6848,3440370,BE
30992,3429035,CM
7545,3413120,AU
11426,3408325,US
3303,3388940,CH
8386,3361282,TR
51167,3341480,DE
47524,3337483,TR
6799,3321432,GR
37287,3275485,ZM
38466,3252562,MY
29614,3242439,GH
24499,3188598,PK
37190,3165006,CI
24961,3139644,DE
10030,3129015,MY
11664,3127530,AR
11351,3123733,US
38019,3100699,CN
56044,3095032,CN
16232,3045588,IT
36908,3038471,TZ
5650,3031444,US
327885,3029776,TZ
8402,2979133,RU
6306,2938670,VE
39603,2937575,PL
11888,2927794,MX
9541,2913156,PK
17488,2857694,IN
24158,2853001,TW
6739,2841976,ES
37705,2837986,TN
37054,2835066,MG
206206,2808876,IQ
2860,2808343,PT
24309,2785966,IN
41202,2782720,UZ
23201,2760265,PY
5483,2759088,HU
51207,2749207,FR
9674,2738635,TW
29497,2723714,RU
27882,2707317,BO
37133,2707269,TZ
12912,2701523,PL
26611,2697395,CO
27947,2674804,EC
8400,2647874,RS
6830,2614624,PL
12876,2599210,FR
3243,2570379,PT
19429,2532829,CO
63023,2527033,US
25513,2518374,RU
8881,2514196,DE
28126,2506914,BR
48503,2498720,KZ
3301,2487818,SE
37453,2474709,CD
48832,2470050,JO
28885,2462046,OM
38623,2459381,KH
17501,2441891,NP
25159,2423501,RU
32934,2415139,US
9105,2413500,GB
37105,2400358,ZA
133982,2396200,IN
17638,2392360,CN
37531,2386419,NE
50810,2371040,IR
56041,2368182,CN
37119,2346949,AO
24863,2335178,EG
23944,2306893,PH
52362,2278141,GT
23724,2276003,CN
28469,2270069,MX
140317,2268447,CN
6057,2267034,UY
39832,2259802,NO
17853,2256507,KR
37223,2234975,MZ
6713,2216482,MA
45916,2196441,IN
41330,2195884,RU
37035,2193573,TZ
36912,2167951,CM
28509,2162230,MX
37577,2155846,BF
12735,2140056,TR
21277,2136829,IQ
36926,2120731,KE
29447,2117321,IT
49273,2110133,UZ
34170,2107038,AZ
6568,2103172,BO
30985,2088665,ML
56042,2063312,CN
37204,2058535,ZW
3292,2057437,DK
63949,2050292,JP
27651,2041154,CL
264731,2027409,VE
37440,2003699,MW
19108,2000811,US
9038,1999840,JO
45498,1988672,KH
206026,1980330,KZ
6871,1976384,GB
14061,1971475,DE
12302,1967630,RO
37447,1966773,CD
134775,1956778,CN
21497,1932037,UA
132165,1923764,PK
36962,1923645,ZM
25106,1920914,BY
28118,1904865,DO
8412,1883259,AT
31163,1873110,RU
39832,1871850,DE
37168,1864238,ZA
5378,1855167,GB
134543,1851377,CN
12353,1847677,PT
23860,1799874,IN
131429,1795138,VN
17962,1791688,CN
28787,1790798,AZ
17506,1789311,JP
37076,1782467,NG
4771,1778063,NZ
36890,1757825,RW
31213,1755065,RU
35228,1755038,GB
18126,1750631,JP
719,1750486,FI
8953,1744952,RO
16019,1738510,CZ
2519,1732326,JP
264668,1724951,EC
29357,1723356,KW
136198,1715754,CN
15802,1714036,AE
3786,1711881,KR
265540,1696325,MX
42961,1695151,KW
5610,1689766,CZ
42298,1689182,QA
8376,1679697,JO
18209,1673298,IN
47589,1668290,KW
23243,1654623,GT
48190,1647677,RU
6855,1635471,SK
45356,1630296,LK
37069,1624280,EG
133696,1622128,IN
12271,1620867,US
206067,1615432,GB
24139,1614887,CN
7029,1609398,US
50010,1601670,OM
12400,1597529,IL
31042,1594948,RS
9009,1582365,DE
30036,1568738,US
28006,1553740,EC
63859,1544566,ID
4760,1530433,HK
48092,1526771,RU
52341,1521107,CL
24186,1520458,IN
37492,1518159,TN
140308,1515908,CN
39651,1475722,SE
8551,1472717,IL
133287,1469967,IN
37693,1467259,TN
29256,1465138,RU
132525,1459619,CN
21299,1452553,KZ
6849,1448702,UA
45543,1441636,VN
136199,1431915,CN
21334,1429773,HU
9617,1424547,JP
20845,1415580,HU
17451,1411476,ID
64466,1406218,UZ
16010,1403563,GE
27901,1389125,CL
137226,1388887,PH
12978,1388638,TR
24157,1383429,TW
28884,1378630,RU
16086,1375252,FI
2119,1370820,SE
37611,1368087,ZA
29355,1367077,KZ
34058,1366461,UA
3329,1363619,GR
39832,1362791,ZA
42772,1351010,BY
4685,1347876,JP
55577,1342949,IN
138384,1342046,JP
37963,1329536,CN
14754,1323415,NI
20661,1322359,TM
11830,1316829,CR
37424,1316300,BJ
2497,1314212,JP
25543,1307457,BF
8447,1306880,AT
27895,1303570,PY
37461,1299700,GN
6730,1295428,CH
18809,1290758,PA
135300,1285900,MM
1680,1285070,IL
22884,1273621,MX
9329,1266816,LK
262186,1265323,CO
36907,1264824,AO
10010,1259357,JP
137687,1256876,CN
37030,1254525,GH
58466,1251713,CN
262210,1251703,PE
15378,1247830,RU
25255,1240755,AT
37294,1220118,MW
16960,1219894,MX
29314,1218638,PL
8866,1217620,BG
17670,1214475,ID
25229,1213022,UA
1759,1194817,FI
7438,1182309,MX
8926,1180587,MD
31205,1180257,RU
53006,1177634,BR
37037,1170764,MG
8697,1163976,JO
37645,1161002,AO
21575,1160700,PE
37233,1158573,NE
3216,1156648,RU
205254,1143218,IQ
855,1125475,CA
25135,1116646,GB
9009,1114824,JP
140726,1114075,CN
30990,1110665,DJ
132471,1105644,AF
21826,1099319,VE
10474,1099285,ZA
30689,1089621,JM
12741,1087753,PL
9930,1082904,MY
9873,1081771,LA
42610,1080732,RU
44217,1079963,IQ
4809,1076801,CN
131284,1076246,AF
9443,1073556,AU
133612,1072310,AU
58322,1071572,IQ
17665,1065618,IN
131267,1060330,LA
14754,1059061,SV
134810,1057534,CN
9269,1051879,HK
9506,1049273,SG
9050,1047438,RO
57269,1046080,ES
5391,1044911,HR
49981,1042293,NL
35753,1032959,SA
11315,1032724,AR
6535,1029704,CL
131178,1028346,KH
14061,1026714,GB
24086,1024384,VN
17465,1021159,IN
2514,1017811,JP
8228,1012051,FR
12083,1010349,US
140312,1009556,CN
42437,1008485,RU
43197,1003750,TJ
7992,1002626,CA
31224,1000448,RU
47377,1000317,BE
24955,998984,RU
11845,997409,ZA
11492,995868,US
6830,995826,CH
37649,985105,SN
28840,978564,RU
12975,972168,PS
28210,962615,BR
327738,961734,CD
12392,960044,BE
8764,959097,LT
56167,957890,PK
37463,951683,CD
9009,949464,GB
45769,947485,IN
63949,946180,US
28545,938621,MX
202561,928727,TR
7679,923587,JP
9500,922501,NZ
23752,922014,NP
21271,917218,ML
52262,914371,HN
12338,912321,ES
25472,907668,GR
13036,907520,CZ
17976,900521,KH
42003,890973,LB
4721,887195,JP
18229,884684,IN
27738,878949,EC
56696,875003,ZW
36930,874914,TZ
38742,870311,AF
12849,869835,IL
2510,865003,JP
1241,862966,GR
327756,861884,TD
138754,852682,IN
136907,851266,CN
136969,845879,PK
36994,843956,ZA
12714,833917,RU
30969,829454,ZW
21021,825682,PL
24691,825052,TG
6830,822884,IE
9924,820770,TW
37164,818120,SL
45650,817557,NP
140316,817391,CN
133384,814327,MM
15502,812162,IE
11260,810742,CA
5416,809371,BH
37594,808676,SS
16735,808213,BR
5466,802375,IE
14522,802330,EC
15399,801367,KE
134762,801273,CN
8767,800471,DE
28554,798375,MX
37154,797189,ZM
32934,795028,SE
27653,792614,HT
17747,790150,IN
29544,789630,MR
14868,787777,BR
6621,784248,US
8369,784122,RU
25139,782421,MZ
4007,781442,NP
44395,779691,AM
9929,778480,CN
16276,778388,GB
38819,773139,HK
21003,772342,LY
7497,770043,CN
9146,767048,BA
2119,765877,NO
15962,763356,SK
35725,763025,RO
15774,761081,RU
131269,759113,IN
140313,754554,CN
135478,754038,ID
11556,753025,PA
52468,751959,CO
1257,749224,SE
137689,748635,CN
12793,745463,AT
55430,745030,SG
6821,737673,MK
35805,734326,GE
52228,733644,CR
16509,732642,CN
45090,732265,CN
37205,728276,NE
57293,727486,AZ
28343,724765,BR
21928,724465,PR
132116,723768,IN
23674,722977,PK
17917,721741,IN
16509,718244,JP
34296,717904,TR
328580,716261,NG
9416,714348,TW
40676,711863,US
10429,709137,BR
6614,706658,US
59668,706330,UZ
4764,703590,AU
9145,702321,DE
13188,702157,UA
15975,700794,PS
37671,699474,TN
45178,698802,AF
12455,697060,KE
17754,694742,IN
14754,694103,HN
14117,693787,CL
52263,686153,CR
134707,685526,PH
8473,685272,SE
25144,684283,BA
27951,683710,CO
9009,683431,NL
136334,682203,IN
140061,678872,CN
328471,677273,ZA
27995,676692,CL
63949,676462,DE
55330,675693,AF
15796,675311,CH
9365,674737,JP
50251,673813,KG
8781,672835,QA
198589,667699,IQ
50266,667103,NL
8612,664069,IT
198471,663546,IT
38247,662657,VN
35612,661869,IT
9231,661542,HK
11776,661398,US
58895,661013,PK
37228,661004,RW
327934,655113,TN
31208,653541,RU
61461,651703,VE
803,650657,CA
20473,642577,JP
23487,639388,EC
3737,636963,US
15964,636873,CM
4181,634441,US
201019,632634,PL
18207,632234,IN
131090,631873,TH
59989,630456,LB
50223,630200,KG
136525,627438,PK
327802,626098,TD
134426,617864,IN
328453,617227,ZA
46573,617167,CN
16591,615205,US
8422,614287,DE
28812,613224,RU
37526,612273,BF
63526,604805,BD
31252,604622,MD
58969,601156,IN
36945,600302,MZ
136480,588748,MM
22995,587686,CA
28649,585009,BR
9304,579343,HK
13110,579189,PL
5645,579175,CA
38322,578396,MY
136190,578256,CN
52260,577597,HT
36996,577405,
138655,576414,PK
14638,575197,PR
21859,573550,GB
20207,573143,AR
1901,573032,AT
140310,572463,CN
7522,571173,JP
131111,565019,ID
15958,564612,RS
6079,564595,US
262197,564327,CR
6503,564071,MX
33588,563087,US
10396,561782,PR
16058,560063,GA
27884,559752,HN
27813,559374,AR
198735,559143,IQ
9158,558047,DK
23889,557299,MU
42560,557169,BA
20485,555348,RU
36991,552869,UG
33765,551164,TZ
37340,548788,NG
23688,548247,BD
43612,547541,MK
29119,547079,ES
4773,546622,SG
135887,541073,AU
14061,538427,CA
16276,538427,CA
133798,537412,ID
58460,537007,PG
33576,536905,JM
11290,536648,CA
3249,535646,EE
55714,534728,PK
328088,529858,ZW
9051,526671,LB
27773,526401,SV
47237,525436,KG
29247,524982,GR
17828,524366,PG
132618,521183,TH
52361,520573,AR
17882,517564,MN
45194,516440,IN
327799,516047,BI
4609,515327,MO
45528,514347,IN
12334,511259,ES
3212,510979,SI
29695,508322,NO
41733,506994,RU
35807,506142,RU
60068,505974,JP
201749,505948,IQ
16116,505133,IL
1547,504723,MD
10036,503915,KR
5603,502539,SI
28075,502361,AR
9790,501778,NZ
3255,501155,UA
37113,499840,UG
22724,499123,EC
16509,498245,US
58461,495270,CN
31615,495145,NL
8075,493950,US
328297,492320,SL
55699,490583,ID
13280,490431,IE
55990,489478,CN
262928,488878,CO
44143,488017,RS
29555,487352,KZ
174,486828,US
12552,486593,SE
6830,483613,AT
51375,483349,BH
12297,483092,AM
45960,482604,MY
11232,481617,US
48728,478626,QA
14988,478049,BW
131591,475095,TW
58678,469954,IN
51018,469879,IQ
51407,468313,PS
9009,468238,BR
3549,467855,CO
37136,466941,BJ
31721,463998,AZ
28036,463974,NI
19182,462965,BR
134760,462403,CN
134674,462401,IN
39232,462302,AZ
9009,460892,CN
41032,460698,IQ
56696,459064,ZA
21042,457975,MG
6866,456952,CY
12552,456678,NO
18081,456386,JP
12716,455582,BG
134238,454218,CN
37196,451998,SN
132203,449685,CN
2110,447681,IE
29244,446515,BG
45184,446273,IN
38841,445381,TW
25144,444615,DE
141771,440618,CN
134419,437218,CN
6830,435770,RO
7122,434936,CA
17924,433662,HK
27672,433390,MX
27800,433294,TT
44034,428819,SE
37009,427827,
14061,427399,IN
27665,427239,TT
15582,423762,RU
36937,423737,ZA
18144,422283,JP
12578,421771,LV
12810,421308,HR
37612,421259,GN
134026,420002,IN
37284,417897,LY
45925,415663,BD
55352,414819,IN
6181,414380,US
9354,413287,JP
60294,412269,DE
137697,412032,CN
9009,411600,FR
135405,409882,MM
35913,408524,US
59045,407373,CN
23655,406800,NZ
133720,406792,IN
27364,406261,US
14061,406171,SG
59588,406143,IQ
20860,406123,GB
46844,404981,CN
139831,401942,PH
49800,396118,AM
7524,396109,JP
36924,394928,GA
26464,394366,US
199524,394168,RU
53037,391183,BR
28220,389667,BR
39010,388876,LB
34557,387400,TJ
38226,387264,IN
7155,386352,US
44869,385921,DK
31499,384690,RU
13124,382480,BG
29518,382188,SE
13213,381688,GB
37057,380753,LS
