,prb_id,country_code,asn_v4
0,1,NL,3265.0
1,10,NL,
2,100,CW,28017.0
3,1000,AU,1221.0
4,1000000,NL,1103.0
5,1000001,MK,5379.0
6,1000002,FR,2121.0
7,1000003,NL,3333.0
8,1000004,US,3130.0
9,1000005,NL,
10,1000006,US,3130.0
11,1000007,CZ,197451.0
12,1000008,IN,24186.0
13,1000009,FR,12876.0
14,1000010,DE,8648.0
15,1000011,US,4.0
16,1000012,FR,35540.0
17,1000013,DE,16276.0
18,1000014,FR,47787.0
19,1000015,FR,3215.0
20,1000016,PT,47787.0
21,1000017,DE,16276.0
22,1000018,US,
23,1000019,IN,24186.0
24,1000020,FR,12876.0
25,1000021,DE,24940.0
26,1000022,PT,43652.0
27,1000023,TR,9121.0
28,1000024,DE,51167.0
29,1000025,NL,33915.0
30,1000026,CA,1403.0
31,1000027,DE,41108.0
32,1000028,TR,34984.0
33,1000029,US,36352.0
34,1000030,DE,8767.0
35,1000031,US,47787.0
36,1000032,CZ,13036.0
37,1000033,CZ,47232.0
38,1000034,CZ,8251.0
39,1000035,CZ,30764.0
40,1000036,CZ,13036.0
41,1000037,US,577.0
42,1000038,FI,16086.0
43,1000039,DE,6830.0
44,1000040,CZ,6830.0
45,1000041,RU,8492.0
46,1000042,CZ,197550.0
47,1000043,PT,47787.0
48,1000044,,8402.0
49,1000045,CN,133752.0
50,1000046,CZ,6830.0
51,1000047,CZ,6830.0
52,1000048,HK,55933.0
53,1000049,US,209484.0
54,1000050,CN,45090.0
55,1000051,RU,47654.0
56,1000052,CZ,42189.0
57,1000053,RU,49404.0
58,1000054,RU,12389.0
59,1000055,RU,34757.0
60,1000056,CZ,35613.0
61,1000057,CZ,5588.0
62,1000058,CZ,25248.0
63,1000059,CZ,197019.0
64,1000060,CZ,13036.0
65,1000061,CZ,6830.0
66,1000062,CZ,6830.0
67,1000063,CZ,6830.0
68,1000065,CZ,6830.0
69,1000066,CZ,6830.0
70,1000067,CZ,25512.0
71,1000068,CZ,44489.0
72,1000069,CZ,43708.0
73,1000070,ZA,328145.0
74,1000071,CZ,5588.0
75,1000072,GR,6799.0
76,1000075,DE,
77,1000076,DE,
78,1000077,CZ,5610.0
79,1000078,CZ,197019.0
80,1000079,US,6079.0
81,1000080,US,20115.0
82,1000081,FR,
83,1000082,GR,6799.0
84,1000083,CZ,5610.0
85,1000084,CZ,6830.0
86,1000085,NL,3333.0
87,1000086,IE,6830.0
88,1000087,FR,15557.0
89,1000088,CZ,42306.0
90,1000090,GB,20473.0
91,1000092,PT,2860.0
92,1000093,CZ,6830.0
93,1000095,NL,63473.0
94,1000096,SE,63473.0
95,1000097,DE,197540.0
96,1000098,NL,36352.0
97,1000099,US,8100.0
98,10001,NL,3265.0
99,1000100,GB,62240.0
100,1000101,DE,
101,1000102,FI,24940.0
102,1000103,CA,16276.0
103,1000104,NO,56655.0
104,1000105,US,32181.0
105,1000106,DE,24940.0
106,1000107,US,36352.0
107,1000108,DE,197540.0
108,1000109,US,63473.0
109,1000110,DE,8560.0
110,1000112,US,36352.0
111,1000113,US,36352.0
112,1000114,DE,8560.0
113,1000115,US,36352.0
114,1000116,RO,44220.0
115,1000117,GR,5408.0
116,1000118,GR,12361.0
117,1000119,US,6939.0
118,1000120,GR,6799.0
119,1000124,GR,6799.0
120,1000125,CZ,6830.0
121,1000127,GR,56457.0
122,1000128,GR,5408.0
123,1000130,GB,14061.0
124,1000132,NL,6830.0
125,1000133,CZ,6830.0
126,1000134,DE,3320.0
127,1000136,GB,205544.0
128,1000137,US,7203.0
129,1000142,SE,58317.0
130,1000143,IT,137.0
131,1000147,NL,6830.0
132,1000148,,57497.0
133,1000149,BE,4589.0
134,1000150,NL,20473.0
135,1000151,CA,803.0
136,1000152,CZ,6830.0
137,1000153,US,22773.0
138,1000154,US,63949.0
139,1000155,CH,198385.0
140,1000157,CZ,30764.0
141,1000158,SE,28854.0
142,1000159,FR,3215.0
143,1000160,UA,3326.0
144,1000163,FR,16276.0
145,1000164,,2527.0
146,1000165,FR,13193.0
147,1000166,FR,3215.0
148,1000167,,7506.0
149,1000169,DE,
150,1000170,FR,208574.0
151,1000172,CH,24889.0
152,1000173,BR,263649.0
153,1000174,US,26347.0
154,1000175,DE,24940.0
155,1000176,IE,34245.0
156,1000177,GB,2856.0
157,1000178,CH,3303.0
158,1000179,JP,2514.0
159,1000180,NL,206238.0
160,1000182,CZ,16019.0
161,1000183,DE,51167.0
162,1000185,IR,25184.0
163,1000186,IR,47330.0
164,1000187,IR,50810.0
165,1000188,IR,49100.0
166,1000189,IR,50810.0
167,1000192,DK,48854.0
168,1000194,DK,48854.0
169,1000196,DE,3320.0
170,1000197,CZ,30764.0
171,1000198,CZ,47727.0
172,1000199,CH,13030.0
173,1000201,,24940.0
174,1000203,IN,4758.0
175,1000204,FR,24904.0
176,1000206,,202468.0
177,1000207,DE,14061.0
178,1000208,,202468.0
179,1000209,,41620.0
180,1000210,,202468.0
181,1000211,,202468.0
182,1000212,,41620.0
183,1000213,,41620.0
184,1000214,,41620.0
185,1000215,,41620.0
186,1000216,,41620.0
187,1000217,,202468.0
188,1000218,,202468.0
189,1000219,NL,59554.0
190,1000220,IN,4758.0
191,1000221,CZ,8251.0
192,1000222,GB,60610.0
193,1000223,RO,8708.0
194,1000225,,11427.0
195,1000226,CH,61098.0
196,1000229,RU,60612.0
197,1000230,RU,20485.0
198,1000231,CH,3303.0
199,1000233,,56677.0
200,1000234,DE,3320.0
201,1000236,NL,6830.0
202,1000237,ZA,7489.0
203,1000238,DE,8767.0
204,1000239,AE,15802.0
205,1000240,NL,6830.0
206,1000241,DE,29471.0
207,1000242,AT,49432.0
208,1000243,CZ,6830.0
209,1000244,US,7155.0
210,1000245,AE,15802.0
211,1000246,GB,14061.0
212,1000248,BE,5432.0
213,1000249,DE,3320.0
214,1000251,DE,60294.0
215,1000252,IR,61173.0
216,1000253,CZ,30764.0
217,1000254,IR,205588.0
218,1000255,,6830.0
219,1000256,CZ,30764.0
220,1000257,ES,15704.0
221,1000259,,39351.0
222,1000260,CA,40029.0
223,1000261,CZ,6830.0
224,1000262,CZ,208422.0
225,1000264,SK,15962.0
226,1000265,GR,6799.0
227,1000266,CZ,6830.0
228,1000267,CZ,6830.0
229,1000268,IN,24560.0
230,1000271,BR,28260.0
231,1000272,IN,24186.0
232,1000273,,55836.0
233,1000274,BR,16397.0
234,1000275,AT,31510.0
235,1000276,CZ,31246.0
236,1000277,,137153.0
237,1000278,IN,14061.0
238,1000279,FR,12322.0
239,1000280,RO,9009.0
240,1000281,GB,3213.0
241,1000282,US,701.0
242,1000283,US,701.0
243,1000284,US,20115.0
244,1000285,IT,57558.0
245,1000286,IN,135262.0
246,1000287,CH,58299.0
247,1000288,DE,31334.0
248,1000289,IR,30902.0
249,1000290,RU,12389.0
250,1000291,CN,63646.0
251,1000292,CN,45090.0
252,1000293,US,36352.0
253,1000294,RU,51892.0
254,1000295,DE,41998.0
255,1000296,US,53755.0
256,1000297,US,396105.0
257,1000298,NL,6830.0
258,1000299,HK,55933.0
259,10003,NL,3265.0
260,1000300,DK,42541.0
261,1000301,,3209.0
262,1000302,CN,37963.0
263,1000303,AU,4764.0
264,1000304,,24186.0
265,1000305,NL,60781.0
266,1000306,DE,34549.0
267,1000308,DE,47610.0
268,1000309,DE,56381.0
269,1000311,PT,2860.0
270,1000312,PT,2860.0
271,1000314,BR,26592.0
272,1000316,FR,3215.0
273,1000318,IR,201227.0
274,1000319,US,20473.0
275,1000320,CZ,5610.0
276,1000321,IT,12850.0
277,1000322,US,20001.0
278,1000325,FR,3215.0
279,1000327,NA,33763.0
280,1000328,CA,12212.0
281,1000329,,6830.0
282,1000330,RU,33871.0
283,1000331,AU,7545.0
284,1000333,US,3912.0
285,1000335,GB,56478.0
286,1000336,DE,8820.0
287,1000338,IT,8660.0
288,1000339,FR,3215.0
289,1000340,IE,6830.0
290,1000341,IE,6830.0
291,1000342,JP,23661.0
292,1000344,PT,2860.0
293,1000345,UA,39608.0
294,1000346,RU,20807.0
295,1000347,PT,2860.0
296,1000348,PT,2860.0
297,1000349,PT,2860.0
298,1000350,PT,2860.0
299,1000351,FR,12322.0
300,1000352,US,7018.0
301,1000353,CN,45090.0
302,1000354,SG,59253.0
303,1000355,NL,60781.0
304,1000356,TW,7532.0
305,1000357,PT,2860.0
306,1000358,UA,39399.0
307,1000359,DE,14061.0
308,1000360,UA,39399.0
309,1000361,UA,39399.0
310,1000362,CZ,31246.0
311,1000363,MY,38182.0
312,1000364,MY,38182.0
313,1000365,MY,38182.0
314,1000366,DE,3320.0
315,1000367,DE,31898.0
316,1000368,DE,31898.0
317,1000369,GB,31898.0
318,1000370,GB,31898.0
319,1000371,IT,137.0
320,1000372,PT,2860.0
321,1000373,FR,35540.0
322,1000374,BH,5416.0
323,1000375,US,20473.0
324,1000376,,6830.0
325,1000377,CH,34182.0
326,1000378,TJ,43197.0
327,1000379,VN,7552.0
328,1000380,VN,45899.0
329,1000381,VN,18403.0
330,1000382,VN,45899.0
331,1000383,,18403.0
332,1000384,,7552.0
333,1000385,VN,45899.0
334,1000386,IT,137.0
335,1000387,CZ,203488.0
336,1000388,VN,18403.0
337,1000389,CH,3303.0
338,1000390,GB,2856.0
339,1000391,,33984.0
340,1000392,,
341,1000393,CH,3303.0
342,1000395,,31034.0
343,1000397,VN,38733.0
344,1000398,CH,13030.0
345,10004,NL,3333.0
346,1000400,US,7922.0
347,1000401,IT,137.0
348,1000402,CZ,13036.0
349,1000403,CA,5645.0
350,1000404,SG,38182.0
351,1000406,US,7922.0
352,1000407,FR,15557.0
353,1000408,CH,34781.0
354,1000409,NL,12876.0
355,1000410,FR,12876.0
356,1000412,FR,205816.0
357,1000413,UA,31272.0
358,1000414,RU,35807.0
359,1000415,CN,55960.0
360,1000416,CN,135629.0
361,1000417,US,16584.0
362,1000418,CN,37963.0
363,1000419,CN,37963.0
364,1000420,US,53667.0
365,1000421,US,53667.0
366,1000422,PT,2860.0
367,1000423,PT,2860.0
368,1000424,PT,2860.0
369,1000425,CN,4837.0
370,1000426,PT,2860.0
371,1000427,US,55158.0
372,1000428,CN,4134.0
373,1000430,PT,2860.0
374,1000431,PT,2860.0
375,1000432,CN,45090.0
376,1000433,JP,4785.0
377,1000434,PT,2860.0
378,1000435,CA,394989.0
379,1000436,CA,395089.0
380,1000437,CN,4134.0
381,1000438,PT,2860.0
382,1000440,SK,50242.0
383,1000441,IR,58224.0
384,1000442,NL,15435.0
385,1000443,FR,197422.0
386,1000444,BY,202090.0
387,1000445,,51698.0
388,1000446,BY,6697.0
389,1000447,RO,39420.0
390,1000449,FR,12322.0
391,1000450,FR,34019.0
392,1000451,FR,12876.0
393,1000452,,15735.0
394,1000457,GB,50056.0
395,1000458,IN,18209.0
396,1000459,CN,4134.0
397,1000460,CN,4837.0
398,1000461,CN,56040.0
399,1000464,US,34927.0
400,1000465,IL,1680.0
401,1000467,DE,3209.0
402,1000468,BJ,37424.0
403,1000469,BJ,37424.0
404,1000470,BJ,37136.0
405,1000471,BJ,37424.0
406,1000472,BJ,28683.0
407,1000473,CN,17962.0
408,1000476,RU,25408.0
409,1000477,RU,48347.0
410,1000480,DE,6830.0
411,1000481,HK,135377.0
412,1000482,CN,134768.0
413,1000483,CH,3303.0
414,1000484,ZA,328137.0
415,1000485,CZ,6830.0
416,1000486,IN,9829.0
