Rank,ASN,AS Name,CC,Users (est.),% of country,% of Internet,Samples
1,AS55836,RELIANCEJIO-IN Reliance Jio Infocomm Limited,IN,287850905,47.91,6.836,35490287
2,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street",CN,262573322,31.61,6.236000000000001,2113368
3,AS45609,BHARTI-MOBILITY-AS-AP Bharti Airtel Ltd. AS for GPRS Service,IN,159930672,26.62,3.798,19718491
4,AS4837,CHINA169-BACKBONE CHINA UNICOM China169 Backbone,CN,149871080,18.04,3.5589999999999997,1206264
5,AS9808,CMNET-GD Guangdong Mobile Communication Co.Ltd.,CN,101541898,12.22,2.412,817278
6,AS197207,MCCI-AS,IR,60280830,95.28,1.432,2733658
7,AS4812,CHINANET-SH-AP China Telecom Group,CN,53715532,6.47,1.276,432339
8,AS7713,TELKOMNET-AS-AP PT Telekomunikasi Indonesia,ID,41482222,34.67,0.985,7313582
9,AS38266,VODAFONE-IN Vodafone India Ltd.,IN,40762643,6.78,0.968,5025789
10,AS4808,CHINA169-BJ China Unicom Beijing Province Network,CN,38147012,4.59,0.9059999999999999,307033
11,AS8151,Uninet S.A. de C.V.,MX,36569392,39.84,0.8690000000000001,4393883
12,AS7922,COMCAST-7922,US,35574295,14.22,0.845,6256922
13,AS8452,TE-AS TE-AS,EG,35274471,65.83,0.838,11832920
14,AS29465,VCG-AS,NG,32307459,50.26,0.767,4334895
15,AS45271,ICLNET-AS-AP Idea Cellular Limited,IN,31241992,5.2,0.742,3851950
16,AS14061,DIGITALOCEAN-ASN,US,30892848,12.35,0.7340000000000001,5433534
17,AS24757,EthioNet-AS,ET,27462567,100.0,0.652,741539
18,AS9299,IPG-AS-AP Philippine Long Distance Telephone Company,PH,25136902,34.0,0.597,4489632
19,AS28573,CLARO S.A.,BR,24565354,14.8,0.583,1246167
20,AS4766,KIXS-AS-KR Korea Telecom,KR,20197893,39.35,0.48,2999243
21,AS2516,KDDI KDDI CORPORATION,JP,20172902,17.88,0.479,523046
22,AS7552,VIETEL-AS-AP Viettel Group,VN,20147369,37.12,0.479,6600184
23,AS56040,CMNET-GUANGDONG-AP China Mobile communications corporation,CN,19990240,2.41,0.475,160895
24,AS134773,CHINANET-GUANGDONG-GUANGZHOU-MAN CHINANET Guangdong province Guangzhou MAN network,CN,19643599,2.36,0.467,158105
25,AS12389,ROSTELECOM-AS,RU,19640639,16.43,0.466,629449
26,AS45899,VNPT-AS-VN VNPT Corp,VN,19319106,35.6,0.45899999999999996,6328849
27,AS56046,CMNET-JIANGSU-AP China Mobile communications corporation,CN,18825949,2.27,0.447,151524
28,AS23693,TELKOMSEL-ASN-ID PT. Telekomunikasi Selular,ID,18598704,15.54,0.442,3279071
29,AS47331,TTNET,TR,18326203,28.46,0.435,2486380
30,AS7018,ATT-INTERNET4,US,18117776,7.24,0.43,3186613
31,AS36903,MT-MPLS,MA,17910237,72.11,0.425,3470434
32,AS50710,EARTHLINK-AS,IQ,17379328,48.1,0.413,3016481
33,AS4713,OCN NTT Communications Corporation,JP,16498594,14.62,0.392,427778
34,AS36873,VNL1-AS,NG,16495492,25.66,0.392,2213304
35,AS17676,GIGAINFRA Softbank BB Corp.,JP,15905686,14.09,0.37799999999999995,412405
36,AS3320,DTAG Internet service provider operations,DE,15734397,22.25,0.374,660235
