ASN,Users (est.),CC
55836,287850905,IN
4134,262573322,CN
45609,159930672,IN
4837,149871080,CN
9808,101541898,CN
197207,60280830,IR
4812,53715532,CN
7713,41482222,ID
38266,40762643,IN
4808,38147012,CN
8151,36569392,MX
7922,35574295,US
8452,35274471,EG
29465,32307459,NG
45271,31241992,IN
14061,30892848,US
24757,27462567,ET
9299,25136902,PH
28573,24565354,BR
4766,20197893,KR
2516,20172902,JP
7552,20147369,VN
56040,19990240,CN
134773,19643599,CN
12389,19640639,RU
45899,19319106,VN
56046,18825949,CN
23693,18598704,ID
47331,18326203,TR
7018,18117776,US
36903,17910237,MA
50710,17379328,IQ
4713,16498594,JP
36873,16495492,NG
17676,15905686,JP
3320,15734397,DE
21928,15157169,US
17621,14895117,CN
4761,14096923,ID
7303,14077733,AR
3215,13856104,FR
3209,13786815,DE
9829,12950460,IN
5607,12791468,GB
3352,12121633,ES
132199,12021614,PH
24203,11996670,ID
17639,11986795,PH
36947,11908956,DZ
2856,11874572,GB
5089,11798417,GB
39891,11421314,SA
9318,11057683,KR
13999,10741983,MX
6167,10735997,US
3462,10709765,TW
8048,10667657,VE
17816,10619757,CN
4788,10340791,MY
17072,10234376,MX
10620,10147250,CO
6147,9927009,PE
701,9807927,US
8359,9778617,RU
20057,9709691,US
328309,9678975,NG
24400,9547158,CN
18403,9389419,VN
24560,9388965,IN
34984,9346416,TR
136255,9081478,MM
20115,9033601,US
17552,8959654,TH
45727,8894213,ID
12479,8884669,ES
1221,8722683,AU
7738,8670408,BR
30873,8668406,YE
9988,8665273,MM
4775,8617580,PH
131445,8616746,TH
30986,8568829,GH
25019,8469477,SA
3269,8408436,IT
24940,8391027,DE
21859,8291688,US
1267,8219677,IT
16345,8214103,RU
16276,8212813,FR
8193,8174589,UZ
5384,8133633,AE
17557,8038887,PK
24389,8015114,BD
9605,7882437,JP
4847,7853836,CN
17622,7730214,CN
5617,7624332,PL
12322,7593809,FR
15557,7569517,FR
35819,7498121,SA
10139,7483606,PH
4538,7295359,CN
30722,7227087,IT
45629,7138213,TH
56047,6976922,CN
26599,6963679,BR
22773,6963335,US
27725,6912840,CU
27699,6904068,BR
8708,6869228,RO
28548,6823144,MX
29256,6787625,SY
24432,6754840,BD
17858,6710154,KR
18881,6691171,BR
16135,6642557,TR
9121,6599255,TR
56048,6598723,CN
577,6555640,CA
4816,6446524,CN
28403,6274830,MX
9198,6240573,KZ
59257,6022779,PK
5410,5970978,FR
37075,5920874,UG
33771,5689741,KE
24444,5664036,CN
29571,5655918,CI
36998,5606737,SD
18004,5589518,ID
24378,5577900,TH
15897,5510221,TR
26615,5462496,BR
22394,5457126,US
17623,5410081,CN
812,5368034,CA
45669,5253438,PK
5713,5238891,ZA
36992,5233684,EG
15706,5197967,SD
8167,5195309,BR
10796,5142644,US
209,5127333,US
9534,5124262,MY
134772,5084934,CN
12430,5032064,ES
15895,4997762,UA
6400,4988370,DO
6805,4962507,DE
3816,4908542,CO
15704,4832731,ES
23700,4818213,ID
8346,4792453,SN
327712,4766553,DZ
20001,4676506,US
20294,4603059,UG
29975,4577044,ZA
16637,4564190,ZA
12252,4548172,PE
9644,4533652,KR
23969,4521582,TH
36972,4495069,SD
37020,4491964,CD
51167,4477011,DE
22085,4475854,BR
36925,4454106,MA
36935,4437718,EG
27747,4422985,AR
136200,4414017,CN
133481,4413717,TH
33779,4397373,DZ
24835,4390555,EG
18001,4331988,LK
20978,4293550,TR
33915,4290896,NL
852,4286763,CA
9824,4258499,JP
37457,4217849,ZA
132061,4216912,TH
12576,4210965,GB
5432,4207601,BE
43766,4200255,SA
2527,4198487,JP
12874,4169235,IT
4804,4138862,AU
327931,4025149,DZ
14754,4024118,GT
7418,4018645,CL
13489,3975812,CO
9009,3968610,US
37342,3939341,MZ
36974,3923640,CI
201767,3865451,UZ
5769,3803000,CA
22927,3713554,AR
6697,3707414,BY
17511,3692704,JP
27831,3687712,CO
17421,3687499,TW
4818,3682559,MY
1136,3674371,NL
6327,3654672,CA
24445,3639852,CN
22047,3628082,CL
8374,3615415,PL
24547,3571394,CN
45245,3542381,BD
6128,3532201,US
6848,3527757,BE
24961,3526968,DE
2518,3511087,JP
13285,3492632,GB
33363,3456082,US
30992,3449361,CM
7545,3446708,AU
31133,3408324,RU
38466,3354344,MY
11426,3328879,US
6799,3328620,GR
11427,3327412,US
37287,3313948,ZM
3303,3274330,CH
12958,3236958,RU
29614,3224016,GH
37190,3216220,CI
24499,3175482,PK
10030,3170833,MY
38019,3161016,CN
47524,3147247,TR
8402,3145066,RU
12876,3144794,FR
11351,3081828,US
11664,3054313,AR
36908,3042277,TZ
8386,2999605,TR
206206,2996102,IQ
327885,2981847,TZ
39603,2968853,PL
