prb_id,timestamp,resultset.result.rt,asn
14768,2019-10-05 19:59:39,nan,12874.0
16144,2019-10-05 19:59:56,36.418,5089.0
20717,2019-10-05 19:59:55,185.557,197046.0
22042,2019-10-05 19:59:38,84.524,13030.0
22042,2019-10-05 19:59:38,237.361,13030.0
22042,2019-10-05 19:59:38,52.589,13030.0
30797,2019-10-05 19:59:47,49.104,701.0
30797,2019-10-05 19:59:47,328.422,701.0
30797,2019-10-05 19:59:47,49.641,701.0
31163,2019-10-05 19:59:46,47.624,3215.0
31163,2019-10-05 19:59:46,3.349,3215.0
31475,2019-10-05 19:59:42,98.892,1140.0
32869,2019-10-05 19:59:39,359.432,12322.0
32869,2019-10-05 19:59:39,0.621,12322.0
4049,2019-10-05 19:59:57,52.617,39608.0
4193,2019-10-05 19:59:56,38.86,6830.0
51713,2019-10-05 19:59:47,448.149,10242.0
938,2019-10-05 19:59:38,61.27,6830.0
10003,2019-10-05 20:00:23,12.267,3265.0
10003,2019-10-05 20:00:23,8.83,3265.0
10415,2019-10-05 20:00:57,153.479,12276.0
10415,2019-10-05 20:00:57,146.021,12276.0
10415,2019-10-05 20:00:57,11.587,12276.0
10865,2019-10-05 20:00:14,54.118,41601.0
10865,2019-10-05 20:00:14,53.091,41601.0
12465,2019-10-05 20:00:37,157.941,3741.0
12465,2019-10-05 20:00:37,1810.081,3741.0
14152,2019-10-05 20:00:17,5.28,1136.0
14152,2019-10-05 20:00:17,2.209,1136.0
14152,2019-10-05 20:00:17,2.106,1136.0
14934,2019-10-05 20:00:08,49.904,56478.0
14934,2019-10-05 20:00:08,0.914,56478.0
15570,2019-10-05 20:00:03,45.405,58046.0
15570,2019-10-05 20:00:03,267.746,58046.0
17113,2019-10-05 20:00:32,30.751,3215.0
17798,2019-10-05 20:00:42,249.362,6799.0
17931,2019-10-05 20:00:26,89.507,35592.0
17931,2019-10-05 20:00:26,92.269,35592.0
17931,2019-10-05 20:00:26,1.033,35592.0
18189,2019-10-05 20:00:58,187.886,4796.0
18189,2019-10-05 20:00:58,191.52,4796.0
18189,2019-10-05 20:00:58,201.524,4796.0
18369,2019-10-05 20:00:34,829.202,10094.0
18801,2019-10-05 20:00:59,110.738,3352.0
18801,2019-10-05 20:00:59,31.923,3352.0
18910,2019-10-05 20:00:17,84.475,16245.0
18910,2019-10-05 20:00:17,154.757,16245.0
19213,2019-10-05 20:00:08,21.919,25151.0
19213,2019-10-05 20:00:08,13.022,25151.0
19213,2019-10-05 20:00:08,12.54,25151.0
21296,2019-10-05 20:00:14,13.45,57154.0
21296,2019-10-05 20:00:14,8.983,57154.0
21364,2019-10-05 20:00:29,97.021,3209.0
21513,2019-10-05 20:00:12,9.738,6730.0
22479,2019-10-05 20:00:18,95.2,50825.0
22479,2019-10-05 20:00:18,3041.207,50825.0
22479,2019-10-05 20:00:18,84.202,50825.0
24897,2019-10-05 20:00:48,121.482,31115.0
26943,2019-10-05 20:00:18,28.668,12392.0
26943,2019-10-05 20:00:18,1.223,12392.0
2707,2019-10-05 20:00:40,69.984,12337.0
2707,2019-10-05 20:00:40,13.925,12337.0
2707,2019-10-05 20:00:40,13.88,12337.0
27668,2019-10-05 20:00:50,25.209,8881.0
27917,2019-10-05 20:00:28,5.704,203732.0
27917,2019-10-05 20:00:28,39.92,203732.0
28631,2019-10-05 20:00:19,69.158,6830.0
28631,2019-10-05 20:00:19,25.62,6830.0
28770,2019-10-05 20:00:30,22.77,5432.0
28770,2019-10-05 20:00:30,8.303,5432.0
32627,2019-10-05 20:00:11,120.147,56740.0
32627,2019-10-05 20:00:11,25.02,56740.0
32627,2019-10-05 20:00:11,0.612,56740.0
33154,2019-10-05 20:00:44,325.68,37640.0
33154,2019-10-05 20:00:44,198.617,37640.0
34377,2019-10-05 20:00:44,332.686,17501.0
34377,2019-10-05 20:00:44,809.811,17501.0
34749,2019-10-05 20:00:59,292.269,45638.0
34749,2019-10-05 20:00:59,0.505,45638.0
34749,2019-10-05 20:00:59,311.498,45638.0
3961,2019-10-05 20:00:40,74.895,3209.0
50307,2019-10-05 20:00:30,153.771,7018.0
50307,2019-10-05 20:00:30,147.38,7018.0
50339,2019-10-05 20:00:10,65.481,16110.0
50339,2019-10-05 20:00:10,39.8,16110.0
51718,2019-10-05 20:00:50,88.65,3329.0
6271,2019-10-05 20:00:55,110.638,2486.0
6271,2019-10-05 20:00:55,42.628,2486.0
6271,2019-10-05 20:00:55,36.017,2486.0
6427,2019-10-05 20:00:48,1411.571,9268.0
6427,2019-10-05 20:00:48,662.506,9268.0
6427,2019-10-05 20:00:48,828.446,9268.0
6599,2019-10-05 20:00:10,1359.774,20473.0
6599,2019-10-05 20:00:10,451.273,20473.0
6599,2019-10-05 20:00:10,414.481,20473.0
11046,2019-10-05 20:01:02,87.312,57142.0
12895,2019-10-05 20:01:39,379.55,5645.0
13387,2019-10-05 20:01:19,422.898,51896.0
13420,2019-10-05 20:01:16,35.433,5607.0
13420,2019-10-05 20:01:16,8.695,5607.0
13528,2019-10-05 20:01:37,131.783,30607.0
14043,2019-10-05 20:01:00,39.925,12322.0
14043,2019-10-05 20:01:00,0.662,12322.0
1423,2019-10-05 20:01:21,18.212,3265.0
14606,2019-10-05 20:01:51,234.7,20001.0
15370,2019-10-05 20:01:31,111.888,5617.0
15370,2019-10-05 20:01:31,3.159,5617.0
15861,2019-10-05 20:01:38,46.764,43708.0
15861,2019-10-05 20:01:38,83.08,43708.0
17297,2019-10-05 20:01:50,20.015,33915.0
17297,2019-10-05 20:01:50,22.488,33915.0
17297,2019-10-05 20:01:50,17.885,33915.0
17961,2019-10-05 20:01:58,67.313,35046.0
17961,2019-10-05 20:01:58,65.105,35046.0
17961,2019-10-05 20:01:58,22.226,35046.0
18310,2019-10-05 20:01:06,99.58,199484.0
18310,2019-10-05 20:01:06,78.101,199484.0
18759,2019-10-05 20:01:41,131.684,6752.0
19023,2019-10-05 20:01:42,555.771,21928.0
20471,2019-10-05 20:01:44,56.936,24909.0
20471,2019-10-05 20:01:44,18.7,24909.0
20777,2019-10-05 20:01:36,850.752,9299.0
20777,2019-10-05 20:01:36,71.832,9299.0
22701,2019-10-05 20:01:55,333.715,17480.0
22701,2019-10-05 20:01:55,331.566,17480.0
22802,2019-10-05 20:01:57,149.323,209.0
22802,2019-10-05 20:01:57,132.955,209.0
22802,2019-10-05 20:01:57,152.916,209.0
25324,2019-10-05 20:01:05,490.667,7922.0
25324,2019-10-05 20:01:05,0.446,7922.0
25375,2019-10-05 20:01:47,3907.481,9430.0
26055,2019-10-05 20:01:17,8.476,49544.0
265,2019-10-05 20:01:17,34.252,39912.0
26849,2019-10-05 20:01:29,12.154,3265.0
26849,2019-10-05 20:01:29,9.836,3265.0
27734,2019-10-05 20:01:26,179.513,41242.0
27734,2019-10-05 20:01:26,25.102,41242.0
28179,2019-10-05 20:01:45,467.766,7922.0
28590,2019-10-05 20:01:16,1262.687,4804.0
28590,2019-10-05 20:01:16,36.869,4804.0
2960,2019-10-05 20:01:20,65.089,50469.0
29605,2019-10-05 20:01:58,84.225,9158.0
29605,2019-10-05 20:01:58,7.381,9158.0
29605,2019-10-05 20:01:58,7.242,9158.0
30467,2019-10-05 20:01:24,14.71,5432.0
30467,2019-10-05 20:01:24,1.944,5432.0
32417,2019-10-05 20:01:45,84.723,25106.0
4531,2019-10-05 20:01:01,119.092,3320.0
4600,2019-10-05 20:01:46,25.132,3265.0
50200,2019-10-05 20:01:16,272.64,11351.0
50524,2019-10-05 20:01:09,59.265,7713.0
51573,2019-10-05 20:01:49,51.797,5089.0
51573,2019-10-05 20:01:49,10.99,5089.0
591,2019-10-05 20:01:35,453.443,7018.0
591,2019-10-05 20:01:35,581.166,7018.0
6281,2019-10-05 20:01:10,143.779,2200.0
6281,2019-10-05 20:01:10,59.712,2200.0
6281,2019-10-05 20:01:10,23.889,2200.0
10102,2019-10-05 20:02:37,123.448,43442.0
10102,2019-10-05 20:02:37,126.488,43442.0
10286,2019-10-05 20:02:32,807.833,7922.0
10286,2019-10-05 20:02:32,0.782,7922.0
10626,2019-10-05 20:02:44,410.191,7922.0
10626,2019-10-05 20:02:44,411.392,7922.0
10964,2019-10-05 20:02:29,15.564,41391.0
10964,2019-10-05 20:02:29,19.317,41391.0
11989,2019-10-05 20:02:12,614.941,7922.0
11989,2019-10-05 20:02:12,455.022,7922.0
11989,2019-10-05 20:02:12,525.357,7922.0
12600,2019-10-05 20:02:57,615.743,46375.0
12793,2019-10-05 20:02:01,291.712,24398.0
12793,2019-10-05 20:02:01,287.476,24398.0
13206,2019-10-05 20:02:15,140.273,5410.0
13302,2019-10-05 20:02:00,73.161,nan
13302,2019-10-05 20:02:00,1.009,nan
13318,2019-10-05 20:02:33,338.985,7922.0
13318,2019-10-05 20:02:33,503.498,7922.0
13318,2019-10-05 20:02:33,332.633,7922.0
14355,2019-10-05 20:02:47,68.808,9158.0
14355,2019-10-05 20:02:47,82.378,9158.0
15831,2019-10-05 20:02:09,38.908,206924.0
15831,2019-10-05 20:02:09,21.509,206924.0
15940,2019-10-05 20:02:59,45.226,8422.0
15940,2019-10-05 20:02:59,3069.834,8422.0
15940,2019-10-05 20:02:59,1.326,8422.0
16987,2019-10-05 20:02:16,70.221,3215.0
16987,2019-10-05 20:02:16,0.722,3215.0
17143,2019-10-05 20:02:03,38.282,3215.0
17143,2019-10-05 20:02:03,28.486,3215.0
17143,2019-10-05 20:02:03,44.373,3215.0
17246,2019-10-05 20:02:50,88.372,13030.0
17246,2019-10-05 20:02:50,3.296,13030.0
19810,2019-10-05 20:02:37,16.059,553.0
19810,2019-10-05 20:02:37,46.441,553.0
19810,2019-10-05 20:02:37,24.132,553.0
19815,2019-10-05 20:02:20,37.199,1267.0
19848,2019-10-05 20:02:16,39.785,3269.0
20446,2019-10-05 20:02:20,46.329,31461.0
20446,2019-10-05 20:02:20,30.448,31461.0
21023,2019-10-05 20:02:45,551.695,209.0
21023,2019-10-05 20:02:45,415.841,209.0
21023,2019-10-05 20:02:45,27.151,209.0
21272,2019-10-05 20:02:30,55.285,49640.0
21272,2019-10-05 20:02:30,87.03,49640.0
2149,2019-10-05 20:02:34,24.409,197529.0
2149,2019-10-05 20:02:34,24.331,197529.0
22450,2019-10-05 20:02:40,31.872,13092.0
22450,2019-10-05 20:02:40,30.769,13092.0
23254,2019-10-05 20:02:13,27.899,12322.0
23254,2019-10-05 20:02:13,113.636,12322.0
23369,2019-10-05 20:02:29,41.896,15557.0
25209,2019-10-05 20:02:59,4011.581,131583.0
25209,2019-10-05 20:02:59,4.784,131583.0
27214,2019-10-05 20:02:50,161.052,7922.0
27214,2019-10-05 20:02:50,278.658,7922.0
2816,2019-10-05 20:02:51,13.252,9125.0
2816,2019-10-05 20:02:51,63.765,9125.0
28691,2019-10-05 20:02:31,477.76,701.0
29458,2019-10-05 20:02:58,165.096,48685.0
29458,2019-10-05 20:02:58,50.513,48685.0
29458,2019-10-05 20:02:58,71.909,48685.0
29989,2019-10-05 20:02:17,49.265,3265.0
29989,2019-10-05 20:02:17,16.705,3265.0
29989,2019-10-05 20:02:17,7.624,3265.0
30515,2019-10-05 20:02:58,52.88,20559.0
32383,2019-10-05 20:02:32,489.845,395354.0
32726,2019-10-05 20:02:27,34.758,5430.0
32726,2019-10-05 20:02:27,0.814,5430.0
32726,2019-10-05 20:02:27,41.535,5430.0
33582,2019-10-05 20:02:07,34.122,3215.0
35351,2019-10-05 20:02:48,43.461,42717.0
35351,2019-10-05 20:02:48,144.188,42717.0
35354,2019-10-05 20:02:32,32.49,6700.0
35354,2019-10-05 20:02:32,31.035,6700.0
4270,2019-10-05 20:02:22,58.72,680.0
4270,2019-10-05 20:02:22,33.269,680.0
50018,2019-10-05 20:02:26,80.496,8228.0
50823,2019-10-05 20:02:19,19.014,31122.0
50823,2019-10-05 20:02:19,0.875,31122.0
50826,2019-10-05 20:02:37,84.696,39735.0
50826,2019-10-05 20:02:37,80.522,39735.0
51059,2019-10-05 20:02:10,18.128,8881.0
51059,2019-10-05 20:02:10,1.359,8881.0
51578,2019-10-05 20:02:53,500.351,12389.0
51715,2019-10-05 20:02:46,83.531,8758.0
51715,2019-10-05 20:02:46,0.852,8758.0
52228,2019-10-05 20:02:50,211.319,48275.0
6102,2019-10-05 20:02:06,3437.277,49515.0
6102,2019-10-05 20:02:06,120.462,49515.0
6159,2019-10-05 20:02:39,173.767,56357.0
6159,2019-10-05 20:02:39,66.167,56357.0
6159,2019-10-05 20:02:39,50.531,56357.0
911,2019-10-05 20:02:37,109.726,39857.0
911,2019-10-05 20:02:37,134.729,39857.0
10413,2019-10-05 20:03:58,123.594,4181.0
10413,2019-10-05 20:03:58,1.25,4181.0
10427,2019-10-05 20:03:55,505.845,6128.0
11667,2019-10-05 20:03:15,16.584,9031.0
11667,2019-10-05 20:03:15,1.105,9031.0
12331,2019-10-05 20:03:10,153.52,7922.0
12466,2019-10-05 20:03:56,936.885,328137.0
12466,2019-10-05 20:03:56,1084.017,328137.0
13442,2019-10-05 20:03:43,3987.138,15557.0
13442,2019-10-05 20:03:43,1.478,15557.0
14608,2019-10-05 20:03:12,62.27,20485.0
14608,2019-10-05 20:03:12,283.009,20485.0
18166,2019-10-05 20:03:07,0.606,23855.0
18166,2019-10-05 20:03:07,0.617,23855.0
18166,2019-10-05 20:03:07,72.58,23855.0
18478,2019-10-05 20:03:58,154.506,719.0
18478,2019-10-05 20:03:58,174.361,719.0
18916,2019-10-05 20:03:21,101.564,6697.0
18916,2019-10-05 20:03:21,108.665,6697.0
202,2019-10-05 20:03:28,458.005,7922.0
20750,2019-10-05 20:03:55,1057.181,18403.0
21390,2019-10-05 20:03:08,6.547,34970.0
21390,2019-10-05 20:03:08,6.825,34970.0
214,2019-10-05 20:03:32,35.256,50304.0
214,2019-10-05 20:03:32,41.537,50304.0
214,2019-10-05 20:03:32,62.246,50304.0
22531,2019-10-05 20:03:28,132.182,1955.0
22531,2019-10-05 20:03:28,16.734,1955.0
22531,2019-10-05 20:03:28,102.491,1955.0
22938,2019-10-05 20:03:10,2287.345,132905.0
23382,2019-10-05 20:03:41,1796.175,17705.0
25232,2019-10-05 20:03:06,592.639,19165.0
25232,2019-10-05 20:03:06,571.046,19165.0
26328,2019-10-05 20:03:45,182.731,58224.0
26328,2019-10-05 20:03:45,41.035,58224.0
29034,2019-10-05 20:03:58,573.18,17882.0
29034,2019-10-05 20:03:58,72.862,17882.0
3164,2019-10-05 20:03:09,17.116,34878.0
32090,2019-10-05 20:03:54,239.495,6799.0
32090,2019-10-05 20:03:54,175.135,6799.0
32090,2019-10-05 20:03:54,461.18,6799.0
32259,2019-10-05 20:03:40,437.194,33182.0
32259,2019-10-05 20:03:40,377.974,33182.0
32259,2019-10-05 20:03:40,369.651,33182.0
32284,2019-10-05 20:03:18,17.249,61215.0
32284,2019-10-05 20:03:18,4.53,61215.0
32534,2019-10-05 20:03:58,112.256,29580.0
33403,2019-10-05 20:03:05,27.388,30836.0
33403,2019-10-05 20:03:05,0.68,30836.0
34431,2019-10-05 20:03:34,47.31,204092.0
34431,2019-10-05 20:03:34,148.579,204092.0
34681,2019-10-05 20:03:22,333.906,701.0
34681,2019-10-05 20:03:22,10.118,701.0
3953,2019-10-05 20:03:40,81.178,43727.0
3956,2019-10-05 20:03:56,63.037,2588.0
51089,2019-10-05 20:03:19,49.584,5089.0
51108,2019-10-05 20:03:30,16.152,7922.0
51108,2019-10-05 20:03:30,15.255,7922.0
6258,2019-10-05 20:03:55,629.862,133453.0
6258,2019-10-05 20:03:55,648.892,133453.0
6258,2019-10-05 20:03:55,330.6,133453.0
6476,2019-10-05 20:03:36,83.864,48362.0
6476,2019-10-05 20:03:36,66.794,48362.0
6476,2019-10-05 20:03:36,23.971,48362.0
10727,2019-10-05 20:04:59,108.756,701.0
10750,2019-10-05 20:04:10,48.147,8708.0
1145,2019-10-05 20:04:07,338.81,27017.0
11590,2019-10-05 20:04:22,254.488,6830.0
11632,2019-10-05 20:04:05,297.796,12322.0
11632,2019-10-05 20:04:05,1.608,12322.0
11702,2019-10-05 20:04:34,38.596,6848.0
13538,2019-10-05 20:04:35,19.115,33915.0
13538,2019-10-05 20:04:35,23.641,33915.0
13538,2019-10-05 20:04:35,19.223,33915.0
13643,2019-10-05 20:04:17,31.802,8365.0
13643,2019-10-05 20:04:17,32.395,8365.0
13643,2019-10-05 20:04:17,1.025,8365.0
13779,2019-10-05 20:04:09,195.927,12556.0
13779,2019-10-05 20:04:09,0.63,12556.0
13919,2019-10-05 20:04:43,92.337,6830.0
13919,2019-10-05 20:04:43,24.929,6830.0
14707,2019-10-05 20:04:06,14.717,2259.0
14973,2019-10-05 20:04:07,230.985,198420.0
14973,2019-10-05 20:04:07,0.562,198420.0
19684,2019-10-05 20:04:22,52.168,43826.0
2048,2019-10-05 20:04:49,19.139,1136.0
20789,2019-10-05 20:04:38,46.85,48964.0
20789,2019-10-05 20:04:38,1.455,48964.0
21243,2019-10-05 20:04:50,48.81,30722.0
21995,2019-10-05 20:04:14,9.098,5409.0
21995,2019-10-05 20:04:14,1241.446,5409.0
2309,2019-10-05 20:04:03,164.698,31250.0
2309,2019-10-05 20:04:03,11.201,31250.0
27920,2019-10-05 20:04:32,11.628,31655.0
27920,2019-10-05 20:04:32,2.97,31655.0
27920,2019-10-05 20:04:32,29.529,31655.0
28970,2019-10-05 20:04:46,11.031,201641.0
31440,2019-10-05 20:04:30,37.668,6871.0
3284,2019-10-05 20:04:25,100.332,12779.0
3284,2019-10-05 20:04:25,119.329,12779.0
3284,2019-10-05 20:04:25,10.962,12779.0
33789,2019-10-05 20:04:02,233.418,16125.0
33789,2019-10-05 20:04:02,63.976,16125.0
